Percent,State,County
16.4,IA,Wayne County
14.6,IA,Webster County
10.8,IA,Winnebago County
9.5,IA,Winneshiek County
14.0,IA,Woodbury County
10.9,IA,Worth County
12.6,IA,Wright County
12.9,KS,Kansas
18.9,KS,Allen County
14.0,KS,Anderson County
16.6,KS,Atchison County
11.1,KS,Barber County
14.4,KS,Barton County
18.2,KS,Bourbon County
14.9,KS,Brown County
10.6,KS,Butler County
12.7,KS,Chase County
16.8,KS,Chautauqua County
18.0,KS,Cherokee County
12.3,KS,Cheyenne County
12.0,KS,Clark County
11.1,KS,Clay County
12.8,KS,Cloud County
9.9,KS,Coffey County
11.4,KS,Comanche County
15.3,KS,Cowley County
19.1,KS,Crawford County
12.3,KS,Decatur County
12.2,KS,Dickinson County
13.2,KS,Doniphan County
19.4,KS,Douglas County
10.6,KS,Edwards County
17.6,KS,Elk County
12.0,KS,Ellis County
10.6,KS,Ellsworth County
14.6,KS,Finney County
13.2,KS,Ford County
11.7,KS,Franklin County
11.9,KS,Geary County
9.9,KS,Gove County
12.2,KS,Graham County
10.2,KS,Grant County
8.3,KS,Gray County
11.4,KS,Greeley County
15.8,KS,Greenwood County
13.1,KS,Hamilton County
13.7,KS,Harper County
9.4,KS,Harvey County
11.2,KS,Haskell County
9.6,KS,Hodgeman County
11.3,KS,Jackson County
9.1,KS,Jefferson County
13.5,KS,Jewell County
5.5,KS,Johnson County
11.5,KS,Kearny County
11.5,KS,Kingman County
12.6,KS,Kiowa County
18.2,KS,Labette County
9.6,KS,Lane County
10.7,KS,Leavenworth County
12.5,KS,Lincoln County
14.0,KS,Linn County
9.4,KS,Logan County
17.5,KS,Lyon County
7.6,KS,McPherson County
10.9,KS,Marion County
10.7,KS,Marshall County
9.5,KS,Meade County
8.8,KS,Miami County
10.5,KS,Mitchell County
19.9,KS,Montgomery County
10.8,KS,Morris County
10.3,KS,Morton County
8.8,KS,Nemaha County
18.9,KS,Neosho County
9.4,KS,Ness County
12.7,KS,Norton County
12.7,KS,Osage County
13.1,KS,Osborne County
10.0,KS,Ottawa County
14.5,KS,Pawnee County
11.1,KS,Phillips County
8.1,KS,Pottawatomie County
10.8,KS,Pratt County
11.7,KS,Rawlins County
13.1,KS,Reno County
11.2,KS,Republic County
13.8,KS,Rice County
23.4,KS,Riley County
11.7,KS,Rooks County
11.5,KS,Rush County
13.2,KS,Russell County
14.3,KS,Saline County
7.7,KS,Scott County
15.2,KS,Sedgwick County
15.0,KS,Seward County
14.2,KS,Shawnee County
10.9,KS,Sheridan County
16.5,KS,Sherman County
12.2,KS,Smith County
12.8,KS,Stafford County
10.9,KS,Stanton County
11.3,KS,Stevens County
11.7,KS,Sumner County
10.9,KS,Thomas County
10.4,KS,Trego County
8.3,KS,Wabaunsee County
12.4,KS,Wallace County
10.7,KS,Washington County
10.9,KS,Wichita County
15.6,KS,Wilson County
19.5,KS,Woodson County
21.9,KS,Wyandotte County
18.3,KY,Kentucky
27.2,KY,Adair County
19.8,KY,Allen County
10.7,KY,Anderson County
15.1,KY,Ballard County
19.3,KY,Barren County
24.9,KY,Bath County
44.7,KY,Bell County
8.2,KY,Boone County
14.8,KY,Bourbon County
20.5,KY,Boyd County
17.2,KY,Boyle County
15.7,KY,Bracken County
32.9,KY,Breathitt County
19.0,KY,Breckinridge County
9.6,KY,Bullitt County
21.6,KY,Butler County
18.8,KY,Caldwell County
21.1,KY,Calloway County
14.4,KY,Campbell County
14.8,KY,Carlisle County
17.6,KY,Carroll County
19.7,KY,Carter County
25.1,KY,Casey County
20.3,KY,Christian County
15.4,KY,Clark County
46.8,KY,Clay County
26.4,KY,Clinton County
19.2,KY,Crittenden County
24.8,KY,Cumberland County
14.9,KY,Daviess County
20.0,KY,Edmonson County
34.4,KY,Elliott County
28.2,KY,Estill County
19.1,KY,Fayette County
20.0,KY,Fleming County
29.5,KY,Floyd County
13.7,KY,Franklin County
30.4,KY,Fulton County
15.0,KY,Gallatin County
17.0,KY,Garrard County
16.4,KY,Grant County
16.3,KY,Graves County
22.9,KY,Grayson County
20.5,KY,Green County
16.8,KY,Greenup County
13.8,KY,Hancock County
15.0,KY,Hardin County
35.5,KY,Harlan County
16.2,KY,Harrison County
